,ArrivalDate,T,RA
215,4/3/2011,22.4,0
216,4/4/2011,22.2,1
217,4/5/2011,23.7,0
218,4/6/2011,24,1
219,4/7/2011,22,1
220,4/8/2011,20.9,1
221,4/9/2011,23.4,0
222,4/10/2011,23.6,0
223,4/11/2011,26.2,0
224,4/12/2011,26.2,0
225,4/13/2011,26.4,1
226,4/14/2011,24.4,1
227,4/15/2011,23.9,0
228,4/16/2011,22.9,1
229,4/17/2011,26.3,0
230,4/18/2011,27.8,0
231,4/19/2011,21.2,1
232,4/20/2011,22.9,1
233,4/21/2011,22.3,1
234,4/22/2011,22.7,1
235,4/23/2011,23.7,1
236,4/24/2011,25,0
237,4/25/2011,23.6,0
238,4/26/2011,25.6,0
239,4/27/2011,26.1,1
240,4/28/2011,23.6,1
241,4/29/2011,27.2,0
242,4/30/2011,28.3,0
243,5/1/2011,24.7,1
244,5/2/2011,23.2,1
245,5/3/2011,21.1,1
246,5/4/2011,24,1
247,5/5/2011,26.8,0
248,5/6/2011,28.6,0
249,5/7/2011,28.3,0
250,5/8/2011,26.7,1
251,5/9/2011,28.4,1
252,5/10/2011,27.8,0
253,5/11/2011,27.6,0
254,5/12/2011,27.6,0
255,5/13/2011,27.5,0
256,5/14/2011,27.6,1
257,5/15/2011,27.5,0
258,5/16/2011,28.6,0
259,5/17/2011,30.4,0
260,5/18/2011,29.5,0
261,5/19/2011,28.3,1
262,5/20/2011,25.9,1
263,5/21/2011,26.2,1
264,5/22/2011,26.3,1
265,5/23/2011,24.4,1
266,5/24/2011,25.5,0
267,5/25/2011,28,0
268,5/26/2011,30,0
269,5/27/2011,31.1,0
270,5/28/2011,28.7,1
271,5/29/2011,28.7,1
272,5/30/2011,26.5,1
273,5/31/2011,26.4,1
274,6/1/2011,26.5,1
275,6/2/2011,27.9,1
276,6/3/2011,25.2,1
277,6/4/2011,25.2,1
278,6/5/2011,26.7,1
279,6/6/2011,28.1,0
280,6/7/2011,29.5,1
281,6/8/2011,26.1,1
282,6/9/2011,NA,0
283,6/10/2011,NA,0
284,6/11/2011,NA,0
285,6/12/2011,NA,0
286,6/13/2011,NA,0
287,6/14/2011,31.4,0
288,6/15/2011,30,1
289,6/16/2011,30.7,1
290,6/17/2011,28.4,1
291,6/18/2011,31.7,0
292,6/19/2011,28.4,1
293,6/20/2011,30.5,0
294,6/21/2011,29.1,1
295,6/22/2011,28.1,1
296,6/23/2011,27.6,1
297,6/24/2011,30.2,0
298,6/25/2011,30.4,1
299,6/26/2011,31.9,0
300,6/27/2011,28.2,1
301,6/28/2011,29.8,1
302,6/29/2011,27.7,1
303,6/30/2011,27.8,1
304,7/1/2011,28.2,1
305,7/2/2011,26.2,1
306,7/3/2011,27.1,1
307,7/4/2011,27.6,1
308,7/5/2011,27.5,1
309,7/6/2011,27.1,1
310,7/7/2011,27.8,1
311,7/8/2011,28.3,1
312,7/9/2011,28.1,0
313,7/10/2011,29.5,0
314,7/11/2011,30.7,0
315,7/12/2011,30.2,1
316,7/13/2011,26.4,1
317,7/14/2011,25.9,1
318,7/15/2011,24.7,1
319,7/16/2011,26.9,1
320,7/17/2011,27.9,1
321,7/18/2011,25.2,1
322,7/19/2011,26.9,1
323,7/20/2011,30.9,1
324,7/21/2011,31.6,1
325,7/22/2011,27.3,1
326,7/23/2011,27.4,1
327,7/24/2011,30.8,0
328,7/25/2011,28.8,1
329,7/26/2011,29.1,1
330,7/27/2011,28.4,1
331,7/28/2011,28.7,0
332,7/29/2011,26.9,1
333,7/30/2011,26.8,1
334,7/31/2011,28.8,1
335,8/1/2011,30.2,1
336,8/2/2011,31.2,0
337,8/3/2011,31,0
338,8/4/2011,27.1,1
339,8/5/2011,26.6,1
340,8/6/2011,27.9,1
341,8/7/2011,27.7,1
342,8/8/2011,29,0
343,8/9/2011,28.2,1
344,8/10/2011,29.7,1
345,8/11/2011,30.3,0
346,8/12/2011,31.7,0
347,8/13/2011,26.8,1
348,8/14/2011,25.8,1
349,8/15/2011,24.9,1
350,8/16/2011,25,1
351,8/17/2011,28.2,1
352,8/18/2011,26.7,1
353,8/19/2011,28.6,0
354,8/20/2011,30.7,1
355,8/21/2011,29.2,0
356,8/22/2011,27.7,1
357,8/23/2011,29.2,0
358,8/24/2011,25.9,1
359,8/25/2011,28.8,0
360,8/26/2011,29.7,0
361,8/27/2011,31,0
362,8/28/2011,30.6,0
363,8/29/2011,32.1,0
364,8/30/2011,31.9,0
365,8/31/2011,30.6,0
366,9/1/2011,28.6,1
367,9/2/2011,30.2,0
368,9/3/2011,30.3,0
369,9/4/2011,31.8,0
370,9/5/2011,29.3,1
371,9/6/2011,27.8,1
372,9/7/2011,28,1
373,9/8/2011,27.3,1
374,9/9/2011,30.3,0
375,9/10/2011,27.7,1
376,9/11/2011,30.1,0
377,9/12/2011,30.8,0
378,9/13/2011,30.7,0
379,9/14/2011,29.8,1
380,9/15/2011,27.8,1
381,9/16/2011,28.1,1
382,9/17/2011,27.9,1
383,9/18/2011,27.9,1
384,9/19/2011,30.9,0
385,9/20/2011,30.2,0
386,9/21/2011,27.6,1
387,9/22/2011,27.9,1
388,9/23/2011,28.5,1
389,9/24/2011,25.6,1
390,9/25/2011,25.7,1
391,9/26/2011,27.2,1
392,9/27/2011,27.3,0
393,9/28/2011,28.4,0
394,9/29/2011,29.4,0
395,9/30/2011,30.7,0
396,10/1/2011,27.2,1
397,10/2/2011,28.2,0
398,10/3/2011,27.6,0
