ArrivalDate,T,RA
9/20/2014,25.8,o
9/21/2014,26.3,o
9/22/2014,25.4,o
9/23/2014,23.6,o
9/24/2014,26.2,
9/25/2014,27.7,o
9/26/2014,25.3,o
9/27/2014,26.5,
9/28/2014,25.6,o
9/29/2014,27.7,
9/30/2014,28.7,
10/1/2014,28.8,
10/2/2014,28.7,
10/3/2014,28.4,
10/4/2014,27.9,
10/5/2014,28.6,
10/6/2014,29.6,
10/7/2014,29.5,
10/8/2014,29.7,
10/9/2014,29.4,
10/10/2014,28.8,
10/11/2014,28.1,
10/12/2014,28.4,
10/13/2014,29.4,
10/14/2014,30,
10/15/2014,26.7,o
10/16/2014,27,o
10/17/2014,27.3,
10/18/2014,27.4,
10/19/2014,25.8,
10/20/2014,25.7,
10/21/2014,26.2,
10/22/2014,25.6,
10/23/2014,25.9,
10/24/2014,25.7,
10/25/2014,25.1,
10/26/2014,23.6,
10/27/2014,23.5,
10/28/2014,24.1,
10/29/2014,24.5,
10/30/2014,24.6,
10/31/2014,24.2,
11/1/2014,24.4,
11/2/2014,24.9,
11/3/2014,26,
11/4/2014,24.8,o
11/5/2014,24.7,
11/6/2014,24.6,
11/7/2014,24.1,
11/8/2014,24,
11/9/2014,23.7,
11/10/2014,24.2,
11/11/2014,25.6,
11/12/2014,22.8,o
11/13/2014,22.4,o
11/14/2014,22.5,
11/15/2014,23.5,
11/16/2014,23.2,
11/17/2014,23.9,
11/18/2014,23.3,
11/19/2014,22.8,
11/20/2014,23,
11/21/2014,24.7,
11/22/2014,21,
11/23/2014,19.4,o
11/24/2014,19.5,
11/25/2014,19.8,
11/26/2014,19.4,
11/27/2014,20.6,
11/28/2014,18,
11/29/2014,18.5,
11/30/2014,19.2,
12/1/2014,19.7,
12/2/2014,20.8,
12/3/2014,21.6,
12/4/2014,23.3,o
12/5/2014,21.2,
12/6/2014,21.3,
12/7/2014,21.9,
12/8/2014,22.2,
12/9/2014,21.8,
12/10/2014,20.2,
12/11/2014,19.6,
12/12/2014,20.9,o
12/13/2014,18.3,
12/14/2014,18.7,
12/15/2014,18,
12/16/2014,19,
12/17/2014,17.6,
12/18/2014,18.4,
12/19/2014,17.5,
12/20/2014,16.7,
12/21/2014,16.7,
12/22/2014,16.4,
12/23/2014,17.7,
12/24/2014,17.6,
12/25/2014,17.7,
12/26/2014,17.3,
12/27/2014,17.5,
12/28/2014,17.8,
12/29/2014,17.3,
12/30/2014,18.4,
12/31/2014,-,-
