ArrivalDate,T,RA
1/1/2015,18.5,
1/2/2015,19.2,
1/3/2015,19.3,
1/4/2015,18.7,o
1/5/2015,17.8,
1/6/2015,17.6,
1/7/2015,18.2,
1/8/2015,18.7,
1/9/2015,18.7,
1/10/2015,18.2,
1/11/2015,17.8,
1/12/2015,17.6,
1/13/2015,17.1,
1/14/2015,18,
1/15/2015,18.2,
1/16/2015,18.4,
1/17/2015,18.9,
1/18/2015,17.8,
1/19/2015,18.1,
1/20/2015,18.2,
1/21/2015,18.1,
1/22/2015,18.1,
1/23/2015,18.9,
1/24/2015,18.9,o
1/25/2015,18.7,
1/26/2015,18.6,
1/27/2015,18.8,
1/28/2015,19.9,
1/29/2015,20.5,o
1/30/2015,18.8,
1/31/2015,17.6,
2/1/2015,17.4,
2/2/2015,18.2,
2/3/2015,18.7,
2/4/2015,20,
2/5/2015,19.7,
2/6/2015,19.5,
2/7/2015,19.3,
2/8/2015,19,
2/9/2015,19.9,
2/10/2015,19.4,
2/11/2015,19.3,
2/12/2015,19.8,
2/13/2015,15.5,o
2/14/2015,17.2,
2/15/2015,18.6,
2/16/2015,19.2,
2/17/2015,19.6,
2/18/2015,21.2,
2/19/2015,17.3,o
2/20/2015,20.2,
2/21/2015,21.8,
2/22/2015,21.3,
2/23/2015,21.7,
2/24/2015,23.9,
2/25/2015,23.3,o
2/26/2015,19.4,o
2/27/2015,21.4,o
2/28/2015,21.7,
3/1/2015,23.8,
3/2/2015,23.7,o
3/3/2015,21.4,o
3/4/2015,20.3,
3/5/2015,20,o
3/6/2015,20.1,
3/7/2015,20.7,
3/8/2015,21.6,
3/9/2015,21.9,
3/10/2015,23.6,
3/11/2015,24.1,
3/12/2015,23.9,
3/13/2015,24,
3/14/2015,23.5,
3/15/2015,21.6,
3/16/2015,21.9,o
3/17/2015,24.1,
3/18/2015,23.4,o
3/19/2015,23.2,o
3/20/2015,22.8,
3/21/2015,23.7,
3/22/2015,24.6,
3/23/2015,26.2,
3/24/2015,22.1,o
3/25/2015,24.4,
3/26/2015,25.7,
3/27/2015,22.4,o
3/28/2015,19.8,o
3/29/2015,25,
3/30/2015,26.9,
3/31/2015,20.5,o
4/1/2015,19.6,o
4/2/2015,18.6,o
4/3/2015,23.1,
4/4/2015,20.9,o
4/5/2015,22,o
4/6/2015,21.2,o
4/7/2015,22.1,
4/8/2015,21.2,o
4/9/2015,21.4,o
4/10/2015,20.4,o
4/11/2015,20.2,o
4/12/2015,24.7,
4/13/2015,25.4,
4/14/2015,27.3,
4/15/2015,28.1,
4/16/2015,29,
4/17/2015,23.5,o
4/18/2015,20.7,o
4/19/2015,20.2,o
4/20/2015,24.6,
4/21/2015,23.1,o
4/22/2015,21.2,o
4/23/2015,20.2,o
4/24/2015,21.1,o
4/25/2015,24.5,
4/26/2015,23.7,
4/27/2015,25.1,
4/28/2015,26.2,
4/29/2015,24.2,o
4/30/2015,25,
5/1/2015,26.5,
5/2/2015,26.9,o
5/3/2015,24.9,o
5/4/2015,23.5,o
5/5/2015,24,o
5/6/2015,27,
