ArrivalDate,T,RA
5/7/2015,25.3,
5/8/2015,25.8,o
5/9/2015,27.3,
5/10/2015,29.1,
5/11/2015,29.1,
5/12/2015,25.8,o
5/13/2015,26.8,o
5/14/2015,25.4,o
5/15/2015,24.2,o
5/16/2015,23.8,o
5/17/2015,24.1,o
5/18/2015,27.2,
5/19/2015,28.8,
5/20/2015,30.9,
5/21/2015,28.1,o
5/22/2015,25.8,o
5/23/2015,22.8,o
5/24/2015,24.5,o
5/25/2015,24.1,o
5/26/2015,25,o
5/27/2015,23.2,o
5/28/2015,22.8,o
5/29/2015,24.5,o
5/30/2015,28.1,
5/31/2015,24.8,o
6/1/2015,25.3,o
6/2/2015,24.5,o
6/3/2015,26.8,
6/4/2015,28.2,
6/5/2015,25.2,o
6/6/2015,25.2,o
6/7/2015,23.1,o
6/8/2015,22.5,o
6/9/2015,22.2,o
6/10/2015,23.6,o
6/11/2015,27.3,o
6/12/2015,26.1,o
6/13/2015,25,o
6/14/2015,25.9,o
6/15/2015,27.3,o
6/16/2015,27,o
6/17/2015,26.8,o
6/18/2015,28.9,o
6/19/2015,28.8,o
6/20/2015,30.5,
6/21/2015,29.6,o
6/22/2015,28.4,o
6/23/2015,29.8,o
6/24/2015,30.6,
6/25/2015,32.5,
6/26/2015,33.9,
6/27/2015,31.2,o
6/28/2015,30.1,
6/29/2015,27.6,o
6/30/2015,27.6,o
7/1/2015,27.4,o
7/2/2015,28.2,o
7/3/2015,29.3,o
7/4/2015,26.4,o
7/5/2015,28.2,
7/6/2015,30.9,
7/7/2015,32.2,
7/8/2015,31.6,
7/9/2015,30.8,
7/10/2015,28.7,o
7/11/2015,31.2,
7/12/2015,28.2,o
7/13/2015,28.8,o
7/14/2015,27.2,o
7/15/2015,27.2,o
7/16/2015,29.2,o
7/17/2015,30.6,
7/18/2015,30.8,
7/19/2015,30.6,
7/20/2015,29.7,o
7/21/2015,26.2,o
7/22/2015,28.9,o
7/23/2015,25.9,o
7/24/2015,25.6,o
7/25/2015,28.9,
7/26/2015,31.6,
7/27/2015,31.3,
7/28/2015,31.6,
7/29/2015,31.9,
7/30/2015,31.3,
7/31/2015,29.5,o
8/1/2015,29.7,o
8/2/2015,31.4,
8/3/2015,28.7,o
8/4/2015,26.6,o
8/5/2015,24.8,o
8/6/2015,27.5,o
8/7/2015,27.7,o
8/8/2015,30.3,
8/9/2015,30.6,
8/10/2015,31.5,
8/11/2015,30.8,o
8/12/2015,29.4,o
8/13/2015,29,o
8/14/2015,28.2,o
8/15/2015,27.3,o
8/16/2015,28.1,o
8/17/2015,27.9,o
8/18/2015,27.3,o
8/19/2015,26.3,o
8/20/2015,23.9,o
8/21/2015,26.1,o
8/22/2015,28.7,o
8/23/2015,26.9,o
8/24/2015,27.8,o
8/25/2015,28.3,o
8/26/2015,29.7,o
8/27/2015,27,o
8/28/2015,26.4,o
8/29/2015,24.3,o
8/30/2015,24.3,o
8/31/2015,25.8,o
9/1/2015,25.6,o
9/2/2015,26.8,o
9/3/2015,27.5,o
9/4/2015,28.6,
9/5/2015,27.2,o
9/6/2015,28.6,o
9/7/2015,27.7,
9/8/2015,28.5,o
9/9/2015,30.1,
9/10/2015,30.4,o
9/11/2015,27.8,o
9/12/2015,27.9,o
9/13/2015,29.7,
9/14/2015,28.2,o
9/15/2015,29.6,o
9/16/2015,28.9,
9/17/2015,30.4,
9/18/2015,31.3,
9/19/2015,30.1,o
9/20/2015,26.2,o
9/21/2015,26.9,o
9/22/2015,25.9,o
9/23/2015,26.1,o
9/24/2015,26.8,o
9/25/2015,26.6,o
9/26/2015,28,o
9/27/2015,28.6,
9/28/2015,29.1,
9/29/2015,29.5,
9/30/2015,28.8,
10/1/2015,29.6,
10/2/2015,29.7,
10/3/2015,27.4,o
10/4/2015,29.5,
10/5/2015,28.3,
10/6/2015,28.8,
10/7/2015,29.8,
10/8/2015,26.7,o
10/9/2015,27,
10/10/2015,22.8,o
10/11/2015,25.8,
10/12/2015,26.8,
10/13/2015,27.1,
10/14/2015,26.4,
10/15/2015,23.4,o
10/16/2015,26.1,
10/17/2015,27.5,
10/18/2015,26.7,
10/19/2015,27.2,
10/20/2015,27,
10/21/2015,26.7,o
10/22/2015,26.3,
10/23/2015,25.4,
10/24/2015,23.4,o
10/25/2015,24.6,
10/26/2015,24.9,
10/27/2015,24.9,
10/28/2015,24.9,
10/29/2015,24.3,
10/30/2015,24.3,
10/31/2015,23.4,
11/1/2015,23,
11/2/2015,23.8,
11/3/2015,25.2,
11/4/2015,20.3,o
11/5/2015,20.7,
11/6/2015,21.3,
11/7/2015,22.1,
11/8/2015,21.7,
11/9/2015,22,
11/10/2015,21.7,
11/11/2015,21.6,
11/12/2015,21.1,
11/13/2015,21.6,
11/14/2015,20.3,
11/15/2015,22.7,
11/16/2015,22.6,o
11/17/2015,21.5,o
11/18/2015,20.3,
11/19/2015,20.8,
11/20/2015,21.1,
11/21/2015,21.2,
11/22/2015,21,
11/23/2015,20.8,
11/24/2015,20.2,
11/25/2015,20.1,
11/26/2015,20.3,
11/27/2015,21.2,
11/28/2015,21.6,
11/29/2015,20.8,
11/30/2015,20.7,
12/1/2015,20.7,
12/2/2015,21.4,
12/3/2015,19.8,o
12/4/2015,18.3,o
12/5/2015,19.2,
12/6/2015,18.6,
12/7/2015,19.4,
12/8/2015,21.2,
12/9/2015,21.2,
12/10/2015,20.7,
12/11/2015,19.6,o
12/12/2015,17.6,o
12/13/2015,19.2,
12/14/2015,18.7,o
12/15/2015,17.9,o
12/16/2015,16.6,
12/17/2015,17.8,
12/18/2015,17.6,
12/19/2015,16.7,o
12/20/2015,17.7,
12/21/2015,18.9,
12/22/2015,17.1,
12/23/2015,17.8,
12/24/2015,18.1,
12/25/2015,18.8,
12/26/2015,17.9,
12/27/2015,18.2,
12/28/2015,19.2,
12/29/2015,19.6,
12/30/2015,20.7,
12/31/2015,-,-
