ArrivalDate,T,RA
5/27/2012,31.2,
5/28/2012,30.3,o
5/29/2012,31.9,
5/30/2012,28.8,o
5/31/2012,30.5,
6/1/2012,30.3,o
6/2/2012,26.7,o
6/3/2012,25.1,o
6/4/2012,25.1,o
6/5/2012,24.3,o
6/6/2012,24.5,o
6/7/2012,27.6,
6/8/2012,29.8,
6/9/2012,30.8,
6/10/2012,28.2,o
6/11/2012,27.8,o
6/12/2012,27.7,o
6/13/2012,24.7,o
6/14/2012,24.9,o
6/15/2012,25.6,o
6/16/2012,28.6,o
6/17/2012,29.6,o
6/18/2012,30.6,
6/19/2012,29.2,
6/20/2012,29.2,o
6/21/2012,26.1,o
6/22/2012,26.7,o
6/23/2012,25.3,o
6/24/2012,24.9,o
6/25/2012,25,o
6/26/2012,24.7,o
6/27/2012,24.4,o
6/28/2012,24.8,o
6/29/2012,30.3,
6/30/2012,32.6,
7/1/2012,29.3,o
7/2/2012,30.3,o
7/3/2012,27.3,o
7/4/2012,26,o
7/5/2012,27.7,o
7/6/2012,29.4,
7/7/2012,29.6,
7/8/2012,28.8,o
7/9/2012,26.6,o
7/10/2012,27,o
7/11/2012,26.4,o
7/12/2012,25.8,o
7/13/2012,27.4,o
7/14/2012,27.7,o
7/15/2012,27.1,o
7/16/2012,26.4,o
7/17/2012,26.8,o
7/18/2012,27.1,o
7/19/2012,29.1,
7/20/2012,31,o
7/21/2012,29.2,
7/22/2012,26.4,o
7/23/2012,26,o
7/24/2012,25.9,o
7/25/2012,29.2,
7/26/2012,29.8,o
7/27/2012,28.2,o
7/28/2012,28.9,o
7/29/2012,26.8,o
7/30/2012,30.3,
7/31/2012,28.7,o
8/1/2012,26.4,o
8/2/2012,27.3,o
8/3/2012,30.4,
8/4/2012,31.6,o
8/5/2012,29.9,o
8/6/2012,27.3,o
8/7/2012,26.9,o
8/8/2012,29.9,o
8/9/2012,32.4,o
8/10/2012,28.9,o
8/11/2012,31.8,
8/12/2012,27.9,
8/13/2012,30.5,o
8/14/2012,28.1,o
8/15/2012,30.8,
8/16/2012,29.7,
8/17/2012,31.7,o
8/18/2012,32,
8/19/2012,28.6,o
8/20/2012,26.6,o
8/21/2012,25.9,o
8/22/2012,26.6,o
8/23/2012,27.2,o
8/24/2012,27.1,o
8/25/2012,30.2,
8/26/2012,28,
8/27/2012,29.8,
8/28/2012,28.6,o
8/29/2012,29.4,o
8/30/2012,28,o
8/31/2012,26.2,o
9/1/2012,24.6,o
9/2/2012,28.1,
9/3/2012,23.6,o
9/4/2012,27.5,
9/5/2012,29.4,
9/6/2012,30.1,
9/7/2012,30.5,
9/8/2012,31.6,
9/9/2012,30.4,
9/10/2012,26.3,o
9/11/2012,28.3,o
9/12/2012,23.6,o
9/13/2012,24.6,o
9/14/2012,23.8,o
9/15/2012,23.1,o
9/16/2012,23.4,o
9/17/2012,26.1,o
9/18/2012,24.8,o
9/19/2012,23.5,o
9/20/2012,25,o
9/21/2012,22.4,o
9/22/2012,23.6,o
9/23/2012,23.3,o
9/24/2012,23,o
9/25/2012,25.9,
9/26/2012,28.2,
9/27/2012,28.5,
9/28/2012,28.4,
9/29/2012,29.2,
9/30/2012,25.7,o
10/1/2012,24.6,o
10/2/2012,23.8,o
10/3/2012,25.1,o
10/4/2012,24,o
10/5/2012,24.5,o
10/6/2012,26.5,
10/7/2012,27.7,
10/8/2012,28.3,
10/9/2012,25.2,o
10/10/2012,26.9,o
10/11/2012,22.9,o
10/12/2012,24.5,
10/13/2012,24.7,
10/14/2012,25.3,
10/15/2012,25.2,
10/16/2012,25.3,
10/17/2012,24.7,
10/18/2012,24.6,
10/19/2012,26.1,
10/20/2012,24.8,
10/21/2012,24.5,
10/22/2012,24.7,
10/23/2012,24.4,
10/24/2012,24.4,
10/25/2012,22.3,o
10/26/2012,23.4,
10/27/2012,24.6,
10/28/2012,23.8,
10/29/2012,23.8,
10/30/2012,23.6,
10/31/2012,23.7,
11/1/2012,22.4,
11/2/2012,22.1,
11/3/2012,22.2,
11/4/2012,23.1,
11/5/2012,22.2,
11/6/2012,21.7,
11/7/2012,22.1,
11/8/2012,19,o
11/9/2012,21.1,
11/10/2012,21.3,
11/11/2012,20.9,
11/12/2012,20.2,
11/13/2012,21.1,
11/14/2012,21.1,
11/15/2012,20.9,
11/16/2012,20.5,
11/17/2012,20.6,
11/18/2012,20.2,
11/19/2012,21.3,
11/20/2012,21.1,
11/21/2012,21.3,
11/22/2012,21,
11/23/2012,20.8,
11/24/2012,21.2,
11/25/2012,20.5,o
11/26/2012,19.8,
11/27/2012,19.2,
11/28/2012,19.4,
11/29/2012,19.1,
11/30/2012,18.9,
12/1/2012,19,
12/2/2012,19.2,
12/3/2012,19.2,
12/4/2012,19.3,
12/5/2012,20.8,
12/6/2012,19.7,
12/7/2012,20.2,
12/8/2012,20.6,
12/9/2012,19.9,o
12/10/2012,19.7,
12/11/2012,18.5,
12/12/2012,18.2,o
12/13/2012,15.3,o
12/14/2012,17.1,
12/15/2012,16.1,
12/16/2012,16.7,
12/17/2012,16.4,
12/18/2012,17.7,
12/19/2012,18.2,o
12/20/2012,16.6,o
12/21/2012,16.6,
12/22/2012,16.3,
12/23/2012,16.7,
12/24/2012,15.4,
12/25/2012,15.9,
12/26/2012,15.6,
12/27/2012,15.8,
12/28/2012,14.9,
12/29/2012,15.3,
12/30/2012,15.7,
12/31/2012,16.4,
