ArrivalDate,T,RA
1/1/2012,17.4,
1/2/2012,17.2,o
1/3/2012,17.2,
1/4/2012,16.2,o
1/5/2012,16.5,o
1/6/2012,16.7,
1/7/2012,16,
1/8/2012,15.9,
1/9/2012,16.8,o
1/10/2012,17.5,
1/11/2012,15.8,o
1/12/2012,16.1,
1/13/2012,15,
1/14/2012,14.4,
1/15/2012,14.1,
1/16/2012,15.9,
1/17/2012,14,o
1/18/2012,14.2,o
1/19/2012,16.2,o
1/20/2012,14.9,o
1/21/2012,16.1,
1/22/2012,15.2,o
1/23/2012,16,
1/24/2012,17,
1/25/2012,16.5,
1/26/2012,17,
1/27/2012,16.9,
1/28/2012,16.1,
1/29/2012,16.2,
1/30/2012,16.7,
1/31/2012,16.6,
2/1/2012,16.5,
2/2/2012,16.3,
2/3/2012,16.9,
2/4/2012,17.2,
2/5/2012,17.9,
2/6/2012,17.2,
2/7/2012,17.7,
2/8/2012,18.8,
2/9/2012,18.8,
2/10/2012,18.8,
2/11/2012,17.5,
2/12/2012,18.2,
2/13/2012,19.4,
2/14/2012,19.2,
2/15/2012,18.5,
2/16/2012,18.5,
2/17/2012,20,
2/18/2012,19.8,
2/19/2012,18.4,
2/20/2012,19.6,
2/21/2012,20.6,
2/22/2012,21.1,
2/23/2012,22.1,
2/24/2012,22.1,o
2/25/2012,19.8,
2/26/2012,20.5,
2/27/2012,21,
2/28/2012,19.5,
2/29/2012,19.9,
3/1/2012,18.3,o
3/2/2012,19.7,o
3/3/2012,18.3,o
3/4/2012,15.6,o
3/5/2012,17.1,
3/6/2012,17.3,
3/7/2012,20.2,
3/8/2012,20.7,
3/9/2012,22.4,
3/10/2012,21,
3/11/2012,22.4,
3/12/2012,22.8,
3/13/2012,22.1,o
3/14/2012,20.7,o
3/15/2012,21.4,
3/16/2012,20.2,
3/17/2012,20.8,
3/18/2012,21.9,
3/19/2012,23.2,
3/20/2012,24.3,
3/21/2012,23.1,o
3/22/2012,20.1,o
3/23/2012,22.3,
3/24/2012,24.7,
3/25/2012,25.4,
3/26/2012,25.6,
3/27/2012,18.7,o
3/28/2012,20.4,o
3/29/2012,21,o
3/30/2012,20.8,o
3/31/2012,24.2,
4/1/2012,25.2,
4/2/2012,26.2,
4/3/2012,26.1,
4/4/2012,22.8,o
4/5/2012,20.9,o
4/6/2012,20.6,o
4/7/2012,21.7,o
4/8/2012,19.3,o
4/9/2012,19.4,o
4/10/2012,23.3,
4/11/2012,22.4,o
4/12/2012,21.4,o
4/13/2012,21.9,o
4/14/2012,20.2,o
4/15/2012,21.7,o
4/16/2012,24.7,o
4/17/2012,21.1,o
4/18/2012,18.8,o
4/19/2012,21.2,o
4/20/2012,25.2,
4/21/2012,27.4,
4/22/2012,21.7,o
4/23/2012,24.5,o
4/24/2012,21.1,o
4/25/2012,20.9,o
4/26/2012,22.2,o
4/27/2012,20.2,o
4/28/2012,21.3,o
4/29/2012,21.8,o
4/30/2012,21.5,o
5/1/2012,22.2,o
5/2/2012,23.6,o
5/3/2012,24.1,
5/4/2012,23.1,o
5/5/2012,26.1,
5/6/2012,27.8,
5/7/2012,28.3,
5/8/2012,28.2,
5/9/2012,29,
5/10/2012,29.4,
5/11/2012,29.6,
5/12/2012,26.7,o
5/13/2012,22.8,o
5/14/2012,23.7,o
5/15/2012,22.9,o
5/16/2012,24.9,o
5/17/2012,23.1,o
5/18/2012,26.6,
5/19/2012,29.2,
5/20/2012,29.6,
5/21/2012,29.6,
5/22/2012,29.6,
5/23/2012,23.8,o
5/24/2012,23.1,o
5/25/2012,27.7,
5/26/2012,30.1,
