ArrivalDate,T,RA
1/1/2011,20.3,
1/2/2011,20.3,
1/3/2011,19.7,
1/4/2011,18.2,o
1/5/2011,20.4,
1/6/2011,21.8,
1/7/2011,21.2,
1/8/2011,21.2,
1/9/2011,22,
1/10/2011,17.8,o
1/11/2011,15.6,o
1/12/2011,16.7,
1/13/2011,16.5,
1/14/2011,17.6,
1/15/2011,18.5,
1/16/2011,17.1,
1/17/2011,17.3,
1/18/2011,17.5,
1/19/2011,16.9,
1/20/2011,16.4,
1/21/2011,16.2,
1/22/2011,16.1,
1/23/2011,15.8,
1/24/2011,16.4,
1/25/2011,17.7,
1/26/2011,18.1,
1/27/2011,18.8,
1/28/2011,18.9,
1/29/2011,19.1,
1/30/2011,18.1,
1/31/2011,17.9,
2/1/2011,16.7,
2/2/2011,17.3,
2/3/2011,17.8,
2/4/2011,18,
2/5/2011,18.4,
2/6/2011,18.5,
2/7/2011,18.8,
2/8/2011,17.5,o
2/9/2011,18,
2/10/2011,17.1,
2/11/2011,18.6,
2/12/2011,18.8,
2/13/2011,20.1,
2/14/2011,20.6,
2/15/2011,18.9,o
2/16/2011,18.5,o
2/17/2011,17.8,o
2/18/2011,17.9,
2/19/2011,18.7,
2/20/2011,18.5,
2/21/2011,20,
2/22/2011,19.7,
2/23/2011,21.2,
2/24/2011,20.6,
2/25/2011,21.2,
2/26/2011,21.7,
2/27/2011,22.1,
2/28/2011,20.9,
3/1/2011,21.3,
3/2/2011,21.7,
3/3/2011,22.2,
3/4/2011,21.2,o
3/5/2011,20.7,
3/6/2011,19.8,o
3/7/2011,22.1,
3/8/2011,23.3,
3/9/2011,21.9,o
3/10/2011,21.9,
3/11/2011,23.6,
3/12/2011,21.1,o
3/13/2011,21.3,
3/14/2011,21,o
3/15/2011,22.8,
3/16/2011,23,
3/17/2011,23.3,
3/18/2011,17.7,o
3/19/2011,16.2,o
3/20/2011,18.3,o
3/21/2011,20.8,o
3/22/2011,22.5,o
3/23/2011,21.7,o
3/24/2011,21.8,o
3/25/2011,21,o
3/26/2011,20,o
3/27/2011,23.6,
3/28/2011,23.2,
3/29/2011,20.6,o
3/30/2011,22.9,o
3/31/2011,20.1,o
4/1/2011,20.6,o
4/2/2011,20.2,o
4/3/2011,22.4,
4/4/2011,22.2,o
4/5/2011,23.7,
4/6/2011,24,o
4/7/2011,22,o
4/8/2011,20.9,o
4/9/2011,23.4,
4/10/2011,23.6,
4/11/2011,26.2,
4/12/2011,26.2,
4/13/2011,26.4,o
4/14/2011,24.4,o
4/15/2011,23.9,
4/16/2011,22.9,o
4/17/2011,26.3,
4/18/2011,27.8,
4/19/2011,21.2,o
4/20/2011,22.9,o
4/21/2011,22.3,o
4/22/2011,22.7,o
4/23/2011,23.7,o
4/24/2011,25,
4/25/2011,23.6,
4/26/2011,25.6,
4/27/2011,26.1,o
4/28/2011,23.6,o
4/29/2011,27.2,
4/30/2011,28.3,
5/1/2011,24.7,o
5/2/2011,23.2,o
5/3/2011,21.1,o
5/4/2011,24,o
5/5/2011,26.8,
5/6/2011,28.6,
5/7/2011,28.3,
5/8/2011,26.7,o
5/9/2011,28.4,o
5/10/2011,27.8,
5/11/2011,27.6,
5/12/2011,27.6,
5/13/2011,27.5,
5/14/2011,27.6,o
5/15/2011,27.5,
5/16/2011,28.6,
5/17/2011,30.4,
5/18/2011,29.5,
5/19/2011,28.3,o
5/20/2011,25.9,o
5/21/2011,26.2,o
5/22/2011,26.3,o
5/23/2011,24.4,o
5/24/2011,25.5,
5/25/2011,28,
5/26/2011,30,
5/27/2011,31.1,
5/28/2011,28.7,o
5/29/2011,28.7,o
5/30/2011,26.5,o
5/31/2011,26.4,o
6/1/2011,26.5,o
6/2/2011,27.9,o
6/3/2011,25.2,o
6/4/2011,25.2,o
6/5/2011,26.7,o
6/6/2011,28.1,
6/7/2011,29.5,o
6/8/2011,26.1,o
6/9/2011,-,-
6/10/2011,-,-
6/11/2011,-,-
6/12/2011,-,-
6/13/2011,-,-
6/14/2011,31.4,
6/15/2011,30,o
6/16/2011,30.7,o
6/17/2011,28.4,o
6/18/2011,31.7,
6/19/2011,28.4,o
6/20/2011,30.5,
6/21/2011,29.1,o
6/22/2011,28.1,o
6/23/2011,27.6,o
6/24/2011,30.2,
6/25/2011,30.4,o
6/26/2011,31.9,
6/27/2011,28.2,o
6/28/2011,29.8,o
6/29/2011,27.7,o
6/30/2011,27.8,o
7/1/2011,28.2,o
7/2/2011,26.2,o
7/3/2011,27.1,o
7/4/2011,27.6,o
7/5/2011,27.5,o
7/6/2011,27.1,o
7/7/2011,27.8,o
7/8/2011,28.3,o
7/9/2011,28.1,
7/10/2011,29.5,
7/11/2011,30.7,
7/12/2011,30.2,o
7/13/2011,26.4,o
7/14/2011,25.9,o
7/15/2011,24.7,o
7/16/2011,26.9,o
7/17/2011,27.9,o
7/18/2011,25.2,o
7/19/2011,26.9,o
7/20/2011,30.9,o
7/21/2011,31.6,o
7/22/2011,27.3,o
7/23/2011,27.4,o
7/24/2011,30.8,
7/25/2011,28.8,o
7/26/2011,29.1,o
7/27/2011,28.4,o
7/28/2011,28.7,
7/29/2011,26.9,o
7/30/2011,26.8,o
7/31/2011,28.8,o
8/1/2011,30.2,o
8/2/2011,31.2,
8/3/2011,31,
8/4/2011,27.1,o
8/5/2011,26.6,o
8/6/2011,27.9,o
8/7/2011,27.7,o
8/8/2011,29,
8/9/2011,28.2,o
8/10/2011,29.7,o
8/11/2011,30.3,
8/12/2011,31.7,
8/13/2011,26.8,o
8/14/2011,25.8,o
8/15/2011,24.9,o
8/16/2011,25,o
8/17/2011,28.2,o
8/18/2011,26.7,o
8/19/2011,28.6,
8/20/2011,30.7,o
8/21/2011,29.2,
8/22/2011,27.7,o
8/23/2011,29.2,
8/24/2011,25.9,o
8/25/2011,28.8,
8/26/2011,29.7,
8/27/2011,31,
8/28/2011,30.6,
8/29/2011,32.1,
8/30/2011,31.9,
8/31/2011,30.6,
9/1/2011,28.6,o
9/2/2011,30.2,
9/3/2011,30.3,
9/4/2011,31.8,
9/5/2011,29.3,o
9/6/2011,27.8,o
9/7/2011,28,o
9/8/2011,27.3,o
9/9/2011,30.3,
9/10/2011,27.7,o
9/11/2011,30.1,
9/12/2011,30.8,
9/13/2011,30.7,
9/14/2011,29.8,o
9/15/2011,27.8,o
9/16/2011,28.1,o
9/17/2011,27.9,o
9/18/2011,27.9,o
9/19/2011,30.9,
9/20/2011,30.2,
9/21/2011,27.6,o
9/22/2011,27.9,o
9/23/2011,28.5,o
9/24/2011,25.6,o
9/25/2011,25.7,o
9/26/2011,27.2,o
9/27/2011,27.3,
9/28/2011,28.4,
9/29/2011,29.4,
9/30/2011,30.7,
10/1/2011,27.2,o
10/2/2011,28.2,
10/3/2011,27.6,
10/4/2011,28.7,
10/5/2011,28.8,
10/6/2011,28.8,
10/7/2011,28.9,
10/8/2011,28.2,
10/9/2011,28.8,
10/10/2011,28.6,
10/11/2011,28.5,
10/12/2011,28.4,
10/13/2011,28.4,
10/14/2011,28.3,
10/15/2011,26.2,o
10/16/2011,25.1,
10/17/2011,26.2,
10/18/2011,26.7,o
10/19/2011,27.4,
10/20/2011,26.5,
10/21/2011,27.8,
10/22/2011,24.7,o
10/23/2011,24.6,
10/24/2011,25.1,
10/25/2011,25.1,
10/26/2011,24.9,
10/27/2011,23.6,
10/28/2011,23.8,
10/29/2011,23.6,
10/30/2011,23.8,
10/31/2011,24.2,
11/1/2011,21.7,
11/2/2011,20.9,
11/3/2011,21.5,
11/4/2011,21.5,
11/5/2011,22.4,
11/6/2011,23.4,
11/7/2011,21.2,
11/8/2011,21.7,
11/9/2011,21.7,
11/10/2011,20.8,
11/11/2011,19.6,
11/12/2011,21.4,
11/13/2011,19.2,
11/14/2011,20.2,
11/15/2011,21,
11/16/2011,19.2,o
11/17/2011,18.3,
11/18/2011,18.9,
11/19/2011,19,
11/20/2011,20.3,
11/21/2011,20.4,
11/22/2011,20.7,
11/23/2011,20.6,
11/24/2011,20.4,
11/25/2011,20.7,
11/26/2011,20.4,
11/27/2011,20.1,
11/28/2011,20.8,
11/29/2011,22,
11/30/2011,20.3,
12/1/2011,20.3,
12/2/2011,20.3,
12/3/2011,19.7,
12/4/2011,18.2,o
12/5/2011,20.4,
12/6/2011,21.8,
12/7/2011,21.2,
12/8/2011,21.2,
12/9/2011,22,
12/10/2011,17.8,o
12/11/2011,15.6,o
12/12/2011,16.7,
12/13/2011,16.5,
12/14/2011,17.6,
12/15/2011,18.5,
12/16/2011,17.1,
12/17/2011,17.3,
12/18/2011,17.5,
12/19/2011,16.9,
12/20/2011,16.4,
12/21/2011,16.2,
12/22/2011,16.1,
12/23/2011,15.8,
12/24/2011,16.4,
12/25/2011,17.7,
12/26/2011,18.1,
12/27/2011,18.8,
12/28/2011,18.9,
