ArrivalDate,T,RA
10/18/2013,26.9,
10/19/2013,25.2,
10/20/2013,25.1,
10/21/2013,23.6,o
10/22/2013,23.4,o
10/23/2013,24.4,
10/24/2013,24.4,
10/25/2013,25.1,
10/26/2013,24.9,
10/27/2013,25.3,o
10/28/2013,21.7,o
10/29/2013,18.3,o
10/30/2013,20.8,o
10/31/2013,20.8,
11/1/2013,21.7,
11/2/2013,22.2,
11/3/2013,21.2,
11/4/2013,21.6,
11/5/2013,21.8,
11/6/2013,22.4,
11/7/2013,21.8,
11/8/2013,21.5,
11/9/2013,21.1,
11/10/2013,21.2,
11/11/2013,19.3,
11/12/2013,20.6,
11/13/2013,20.3,
11/14/2013,20.8,
11/15/2013,19.6,
11/16/2013,19.7,
11/17/2013,19.8,
11/18/2013,19.5,
11/19/2013,19.8,
11/20/2013,21.2,
11/21/2013,21,
11/22/2013,20.6,
11/23/2013,18.5,
11/24/2013,19.8,
11/25/2013,19.4,
11/26/2013,21.3,
11/27/2013,20.6,
11/28/2013,21.2,
11/29/2013,21.9,
11/30/2013,21.7,
12/1/2013,20.8,
12/2/2013,20.7,
12/3/2013,20.8,
12/4/2013,20.6,
12/5/2013,20,
12/6/2013,19.9,
12/7/2013,18.8,
12/8/2013,20.1,
12/9/2013,19.7,
12/10/2013,20.2,
12/11/2013,20.4,o
12/12/2013,16.1,o
12/13/2013,17.8,
12/14/2013,17.2,
12/15/2013,17.7,
12/16/2013,15.6,
12/17/2013,15.2,
12/18/2013,14.8,
12/19/2013,15.4,
12/20/2013,15.6,o
12/21/2013,16.6,
12/22/2013,15.7,
12/23/2013,16.4,
12/24/2013,16.8,
12/25/2013,16.3,
12/26/2013,16,
12/27/2013,15.9,
12/28/2013,15.3,
12/29/2013,16,
12/30/2013,16.4,
12/31/2013,16.1,
