ArrivalDate,T,RA
1/1/2013,16.6,
1/2/2013,16.6,
1/3/2013,17.5,
1/4/2013,16.1,o
1/5/2013,15.4,
1/6/2013,15.4,
1/7/2013,16.7,o
1/8/2013,14,o
1/9/2013,13.8,
1/10/2013,14.1,
1/11/2013,13.2,
1/12/2013,14.4,
1/13/2013,14.1,
1/14/2013,15.4,
1/15/2013,16.1,
1/16/2013,16.2,
1/17/2013,17.2,
1/18/2013,17.1,
1/19/2013,18.1,
1/20/2013,18.7,
1/21/2013,17.3,
1/22/2013,16.7,
1/23/2013,16.2,
1/24/2013,16.2,
1/25/2013,16.5,
1/26/2013,15.7,
1/27/2013,15.8,
1/28/2013,16.8,
1/29/2013,17.6,
1/30/2013,17.3,
1/31/2013,17.5,
2/1/2013,19.2,
2/2/2013,18.7,
2/3/2013,18.4,
2/4/2013,18.8,
2/5/2013,18.9,
2/6/2013,19,
2/7/2013,19.6,
2/8/2013,20,o
2/9/2013,21.2,
2/10/2013,20.1,
2/11/2013,20.3,
2/12/2013,19.9,
2/13/2013,20.5,o
2/14/2013,20.7,
2/15/2013,21,
2/16/2013,22.2,o
2/17/2013,18.8,o
2/18/2013,18.9,
2/19/2013,19.8,
2/20/2013,20.3,
2/21/2013,20.8,
2/22/2013,21.7,
2/23/2013,22.6,
2/24/2013,22.1,
2/25/2013,23.5,
2/26/2013,22.2,
2/27/2013,23.3,
2/28/2013,23.3,
3/1/2013,23.2,
3/2/2013,23.9,
3/3/2013,24.4,
3/4/2013,24.3,
3/5/2013,25.4,
3/6/2013,24.2,
3/7/2013,22.8,
3/8/2013,23.9,
3/9/2013,23.3,
3/10/2013,23.8,
3/11/2013,22,o
3/12/2013,21.4,
3/13/2013,24.3,
3/14/2013,24.6,
3/15/2013,25.6,
3/16/2013,23.8,o
3/17/2013,25.1,o
3/18/2013,20.8,o
3/19/2013,19.5,o
3/20/2013,22.3,
3/21/2013,23.5,o
3/22/2013,17.9,o
3/23/2013,21.9,
3/24/2013,23.7,
3/25/2013,21.2,o
3/26/2013,21.4,o
3/27/2013,22.8,
3/28/2013,25.3,
3/29/2013,22.3,o
3/30/2013,18.8,o
3/31/2013,20.6,o
4/1/2013,22.6,o
4/2/2013,22.1,
4/3/2013,20.7,o
4/4/2013,19.6,o
4/5/2013,23.2,o
4/6/2013,21.8,
4/7/2013,22.3,
4/8/2013,21.9,
4/9/2013,23.1,o
4/10/2013,21.3,o
4/11/2013,20.7,o
4/12/2013,22.5,o
4/13/2013,22.7,o
4/14/2013,22.5,o
4/15/2013,20.5,o
4/16/2013,20.9,o
4/17/2013,22.4,o
4/18/2013,23.3,o
4/19/2013,20.6,o
4/20/2013,22.8,o
4/21/2013,23.6,
4/22/2013,22.7,o
4/23/2013,24.9,
4/24/2013,26.6,
4/25/2013,28.1,
4/26/2013,28.3,
4/27/2013,26.1,o
4/28/2013,27.1,o
4/29/2013,26.5,o
4/30/2013,27.1,o
5/1/2013,24.2,o
5/2/2013,21.2,o
5/3/2013,23.5,o
5/4/2013,20.8,o
5/5/2013,20.7,o
5/6/2013,24.4,o
5/7/2013,24.4,o
5/8/2013,24.8,o
5/9/2013,25.8,
5/10/2013,26.7,
5/11/2013,26.2,o
5/12/2013,22.4,o
5/13/2013,23.2,o
5/14/2013,22.5,o
5/15/2013,25.1,o
5/16/2013,25.2,o
5/17/2013,25.1,o
5/18/2013,22.6,o
5/19/2013,23.2,
5/20/2013,27.3,
5/21/2013,29.1,
5/22/2013,28.7,o
5/23/2013,27.2,o
5/24/2013,26,o
5/25/2013,28.8,
5/26/2013,30.7,
5/27/2013,29.5,o
5/28/2013,28.8,o
5/29/2013,29.1,
5/30/2013,29.4,o
5/31/2013,27.1,o
6/1/2013,26.9,o
6/2/2013,28.9,
6/3/2013,29.8,o
6/4/2013,27.9,o
6/5/2013,30.2,
6/6/2013,28.8,o
6/7/2013,29.4,o
6/8/2013,26.8,o
6/9/2013,27.9,o
6/10/2013,30.3,o
6/11/2013,32.3,
6/12/2013,32,
6/13/2013,31.3,
6/14/2013,31.7,
6/15/2013,30.8,o
6/16/2013,27.5,o
6/17/2013,28.7,o
6/18/2013,26.2,o
6/19/2013,29.8,o
6/20/2013,29.9,
6/21/2013,29.8,
6/22/2013,30.3,o
6/23/2013,28,o
6/24/2013,30,o
6/25/2013,26.5,o
6/26/2013,26.7,o
6/27/2013,25.4,o
6/28/2013,27,o
6/29/2013,28.7,o
6/30/2013,30.4,
7/1/2013,27.3,o
7/2/2013,26.9,o
7/3/2013,30.6,
7/4/2013,27.7,o
7/5/2013,27,o
7/6/2013,26.9,o
7/7/2013,27.5,o
7/8/2013,27.1,o
7/9/2013,26.2,o
7/10/2013,26.4,o
7/11/2013,28.3,o
7/12/2013,27.7,o
7/13/2013,28.5,o
7/14/2013,28.9,o
7/15/2013,29.6,o
7/16/2013,29.7,o
7/17/2013,28.2,o
7/18/2013,27.6,o
7/19/2013,26.7,o
7/20/2013,27.8,o
7/21/2013,27.9,o
7/22/2013,30.1,
7/23/2013,28.3,o
7/24/2013,30,o
7/25/2013,28.6,o
7/26/2013,28.7,o
7/27/2013,28.3,o
7/28/2013,30.4,
7/29/2013,31.5,
7/30/2013,32.3,o
7/31/2013,26.4,o
8/1/2013,29.3,
8/2/2013,29.9,
8/3/2013,31,o
8/4/2013,31.7,
8/5/2013,25,o
8/6/2013,25.7,o
8/7/2013,25.8,o
8/8/2013,25.9,o
8/9/2013,26.5,o
8/10/2013,28.9,o
8/11/2013,28.7,o
8/12/2013,28.7,
8/13/2013,28.9,
8/14/2013,29.9,o
8/15/2013,30.4,
8/16/2013,28.2,o
8/17/2013,27.8,o
8/18/2013,31.1,
8/19/2013,31.6,
8/20/2013,30,o
8/21/2013,31,
8/22/2013,27.4,o
8/23/2013,30.1,
8/24/2013,30.8,
8/25/2013,28.7,o
8/26/2013,27.8,o
8/27/2013,29.8,
8/28/2013,27.3,o
8/29/2013,26.7,o
8/30/2013,27.1,o
8/31/2013,27.9,o
9/1/2013,27.8,o
9/2/2013,26.7,o
9/3/2013,26.4,o
9/4/2013,26.4,o
9/5/2013,26.5,o
9/6/2013,27.7,
9/7/2013,28,
9/8/2013,29.2,
9/9/2013,28.3,
9/10/2013,28.8,
9/11/2013,29.6,
9/12/2013,30.2,
9/13/2013,30.6,
9/14/2013,29.6,
9/15/2013,28.3,
9/16/2013,29.9,
9/17/2013,30.1,
9/18/2013,32.1,
9/19/2013,32.1,
9/20/2013,26.5,o
9/21/2013,29.8,
9/22/2013,29.9,
9/23/2013,28.9,
9/24/2013,29.1,
9/25/2013,29.8,o
9/26/2013,25.9,o
9/27/2013,28.8,
9/28/2013,30.3,
9/29/2013,28.2,
9/30/2013,27.4,o
10/1/2013,27.9,o
10/2/2013,28.1,
10/3/2013,28.2,o
10/4/2013,26.1,o
10/5/2013,24.3,o
10/6/2013,24.2,o
10/7/2013,21.4,o
10/8/2013,25.3,
10/9/2013,26.1,
10/10/2013,26.9,
10/11/2013,27.2,
10/12/2013,27.4,
10/13/2013,26.9,
10/14/2013,27.3,
10/15/2013,26.3,o
10/16/2013,25.7,
10/17/2013,27.6,
