"","ArrivalDate","MODALPRICE","arrivalquantity","T","RA"
"600",2017-08-16,7300,3,NA,NA
"601",2017-08-17,7300,3.3,NA,NA
"602",2017-08-18,7300,4.7,NA,NA
"603",2017-08-19,7300,1.7,NA,NA
"604",2017-08-21,7300,5.6,NA,NA
"605",2017-08-22,7300,7.1,NA,NA
"606",2017-08-23,7300,4.1,NA,NA
"607",2017-08-24,7300,3.3,NA,NA
"608",2017-08-25,7300,6.1,NA,NA
"609",2017-08-26,7300,4.1,NA,NA
"610",2017-08-28,7300,3.1,NA,NA
"611",2017-08-29,7300,3.1,NA,NA
"612",2017-08-30,7300,5.6,NA,NA
"613",2017-08-31,7300,4.4,NA,NA
"614",2017-09-01,7300,3.8,NA,NA
"615",2017-09-02,7300,5,NA,NA
"616",2017-09-04,7300,5.3,NA,NA
"617",2017-09-05,7300,0.3,NA,NA
"618",2017-09-06,7300,6.5,NA,NA
"619",2017-09-07,7300,6,NA,NA
"620",2017-09-08,7300,6,NA,NA
"621",2017-09-09,7300,5,NA,NA
"622",2017-09-11,7300,2,NA,NA
"623",2017-09-12,7300,4.8,NA,NA
"624",2017-09-14,7300,4.2,NA,NA
"625",2017-09-15,7300,3,NA,NA
"626",2017-09-16,7300,5.7,NA,NA
"627",2017-09-17,7300,3.5,NA,NA
"628",2017-09-18,7300,4,NA,NA
"629",2017-09-19,7300,6.5,NA,NA
"630",2017-09-20,7300,3.4,NA,NA
"631",2017-09-21,7300,6.8,NA,NA
"632",2017-09-22,7300,2.2,NA,NA
"633",2017-09-23,7300,1.8,NA,NA
"634",2017-09-25,7300,5,NA,NA
"635",2017-09-26,7300,2.5,NA,NA
"636",2017-09-27,7300,4.3,NA,NA
"637",2017-09-30,7300,3.2,NA,NA
"638",2017-10-01,7300,5.8,NA,NA
"639",2017-10-02,7300,5.5,NA,NA
"640",2017-10-03,7300,2,NA,NA
"641",2017-10-04,7300,3,NA,NA
"642",2017-10-05,7300,2.7,NA,NA
"643",2017-10-06,7300,6.5,NA,NA
"644",2017-10-07,7300,2,NA,NA
"645",2017-10-09,7300,4.2,NA,NA
"646",2017-10-10,7300,1.8,NA,NA
"647",2017-10-11,7300,2.7,NA,NA
"648",2017-10-12,7300,3,NA,NA
"649",2017-10-13,7300,1.2,NA,NA
"650",2017-10-14,7300,1.6,NA,NA
"651",2017-10-16,7300,0.5,NA,NA
"652",2017-10-17,7300,2.7,NA,NA
"653",2017-10-19,6900,2.3,NA,NA
"654",2017-10-20,6900,2.8,NA,NA
"655",2017-10-21,6900,6.1,NA,NA
"656",2017-10-23,6900,4,NA,NA
"657",2017-10-24,6900,2.6,NA,NA
