"","ArrivalDate","MODALPRICE","arrivalquantity","T","RA"
"131",2014-10-14,6900,0,30,"0"
"132",2014-10-15,6900,0,26.7,"1"
"133",2014-10-16,6900,0,27,"1"
"134",2014-10-17,6900,0,27.3,"0"
"135",2014-10-21,6900,0,26.2,"0"
"136",2014-10-27,6900,0,23.5,"0"
"137",2014-10-30,6900,0,24.6,"0"
"138",2014-11-10,7050,0,24.2,"0"
"139",2014-11-11,7050,0,25.6,"0"
"140",2014-11-12,7050,0,22.8,"1"
"141",2014-11-13,7050,0,22.4,"1"
"142",2014-11-21,7050,0,24.7,"0"
"143",2014-11-25,7050,0,19.8,"0"
"144",2014-11-26,7050,0,19.4,"0"
"145",2014-11-27,7100,0,20.6,"0"
"146",2014-11-28,7100,0,18,"0"
"147",2014-12-01,7100,0,19.7,"0"
"148",2014-12-03,7100,0,21.6,"0"
"149",2014-12-04,7400,0,23.3,"1"
"150",2014-12-05,7100,0,21.2,"0"
"151",2014-12-08,7300,0,22.2,"0"
"152",2014-12-12,7300,0,20.9,"1"
"153",2014-12-16,7300,0,19,"0"
"154",2014-12-22,7300,0,16.4,"0"
"155",2014-12-23,7300,0,17.7,"0"
"156",2014-12-30,7300,0,18.4,"0"
"157",2014-12-31,7300,0,NA,"0"
"158",2015-01-02,7300,0,19.2,"0"
"159",2015-01-03,7350,0,19.3,"0"
"160",2015-01-07,7350,0,18.2,"0"
"161",2015-01-08,7350,0,18.7,"0"
"162",2015-01-09,7350,0,18.7,"0"
"163",2015-01-13,7350,0,17.1,"0"
"164",2015-01-19,7350,0,18.1,"0"
"165",2015-01-20,7700,0,18.2,"0"
"166",2015-01-22,7700,0,18.1,"0"
"167",2015-01-28,7700,0,19.9,"0"
"168",2015-05-08,9300,0,25.8,"1"
"169",2015-05-11,9300,0,29.1,"0"
"170",2015-05-12,9300,0,25.8,"1"
"171",2015-05-14,9300,0,25.4,"1"
"172",2015-05-19,9300,0,28.8,"0"
"173",2015-05-20,9300,0,30.9,"0"
"174",2015-05-21,9300,0,28.1,"1"
"175",2015-05-22,9300,0,25.8,"1"
"176",2015-05-26,9905,0,25,"1"
"177",2015-05-27,9905,0,23.2,"1"
"178",2015-05-28,9905,0,22.8,"1"
"179",2015-05-29,9905,0,24.5,"1"
"180",2015-05-30,9905,0,28.1,"0"
"181",2015-07-30,9950,0,31.3,"0"
"182",2015-07-31,9950,0,29.5,"1"
"183",2015-08-01,9950,0,29.7,"1"
"184",2015-08-03,9950,0,28.7,"1"
"185",2015-08-04,9950,0,26.6,"1"
"186",2015-08-07,9950,0,27.7,"1"
"187",2015-08-11,9950,0,30.8,"1"
"188",2015-08-12,10340,0,29.4,"1"
"189",2015-08-14,10340,0,28.2,"1"
"190",2015-08-17,10340,0,27.9,"1"
"191",2015-08-18,10340,0,27.3,"1"
"192",2015-08-21,10340,0,26.1,"1"
"193",2015-08-25,10340,0,28.3,"1"
"194",2015-08-28,10340,0,26.4,"1"
"195",2015-08-29,10340,0,24.3,"1"
"196",2015-09-02,10340,0,26.8,"1"
"197",2015-09-07,10340,0,27.7,"0"
"198",2015-09-08,10340,0,28.5,"1"
"199",2015-09-09,10340,0,30.1,"0"
"200",2015-09-11,10340,0,27.8,"1"
"201",2015-09-14,13600,0,28.2,"1"
"202",2015-09-16,13600,0,28.9,"0"
"203",2015-09-22,13600,0,25.9,"1"
"204",2015-09-28,13600,0,29.1,"0"
"205",2015-09-29,13600,0,29.5,"0"
"206",2015-10-01,13600,0,29.6,"0"
"207",2015-10-03,13600,0,27.4,"1"
"208",2015-10-06,13600,0,28.8,"0"
"209",2015-10-07,13600,0,29.8,"0"
"210",2015-10-08,13600,0,26.7,"1"
"211",2015-10-09,10300,0,27,"0"
"212",2015-10-13,13600,0,27.1,"0"
"213",2015-10-14,13600,0,26.4,"0"
"214",2015-10-17,10300,0,27.5,"0"
"215",2015-10-19,10300,0,27.2,"0"
"216",2015-10-28,10300,0,24.9,"0"
"217",2015-10-29,10300,0,24.3,"0"
