,ArrivalDate,Price,T,RA
179,6/2/2011,6700,27.9,1
180,6/3/2011,6700,25.2,1
181,6/6/2011,6700,28.1,0
182,6/7/2011,6700,29.5,1
183,6/8/2011,6700,26.1,1
187,6/14/2011,6700,31.4,0
188,6/15/2011,6700,30,1
189,6/16/2011,6700,30.7,1
190,6/17/2011,6700,28.4,1
191,6/20/2011,6700,30.5,0
192,6/21/2011,6700,29.1,1
193,6/22/2011,6700,28.1,1
194,6/23/2011,6700,27.6,1
195,6/24/2011,6700,30.2,0
196,6/27/2011,6700,28.2,1
197,6/28/2011,6700,29.8,1
198,6/29/2011,6700,27.7,1
199,6/30/2011,6700,27.8,1
200,7/1/2011,6700,28.2,1
201,7/4/2011,6700,27.6,1
202,7/5/2011,6700,27.5,1
203,7/6/2011,6700,27.1,1
204,7/7/2011,6700,27.8,1
205,7/8/2011,6700,28.3,1
206,7/11/2011,6700,30.7,0
207,7/12/2011,6600,30.2,1
208,7/13/2011,6600,26.4,1
209,7/14/2011,6600,25.9,1
210,7/15/2011,6600,24.7,1
211,7/18/2011,6600,25.2,1
212,7/19/2011,6600,26.9,1
213,7/20/2011,6600,30.9,1
214,7/21/2011,6600,31.6,1
215,7/22/2011,6600,27.3,1
216,7/25/2011,6600,28.8,1
217,7/26/2011,6600,29.1,1
218,7/27/2011,6600,28.4,1
219,7/28/2011,6600,28.7,0
220,7/29/2011,6600,26.9,1
221,8/1/2011,6600,30.2,1
222,8/2/2011,6600,31.2,0
223,8/3/2011,6600,31,0
224,8/4/2011,6600,27.1,1
225,8/5/2011,6600,26.6,1
226,8/8/2011,6600,29,0
227,8/9/2011,6600,28.2,1
228,8/10/2011,6600,29.7,1
229,8/11/2011,6600,30.3,0
230,8/12/2011,6600,31.7,0
231,8/16/2011,6600,25,1
232,8/17/2011,6600,28.2,1
233,8/18/2011,6600,26.7,1
234,8/19/2011,6600,28.6,0
235,8/23/2011,6600,29.2,0
236,8/24/2011,6600,25.9,1
237,8/25/2011,6600,28.8,0
238,8/26/2011,6600,29.7,0
239,8/29/2011,6600,32.1,0
240,8/30/2011,6600,31.9,0
241,9/1/2011,6600,28.6,1
